M107,M220,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
0,0,0,0,0,0,1,0,0,0,0,0,83.68487,0,100.835,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,83.73351,0,99.926,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,84.44469,0,90.523,99.926,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,84.49334,0,90.523,99.016,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,85.13572,0,99.016,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,85.18437,0,98.107,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,85.75794,0,90.523,98.107,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,85.80659,0,90.523,97.197,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,86.31137,0,97.197,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,86.36002,0,96.287,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,86.796,0,90.523,96.287,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,86.84465,0,90.523,95.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,87.21183,0,95.378,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,87.26048,0,94.468,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,87.55886,0,90.523,94.468,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,87.60751,0,90.523,93.559,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,87.83709,0,93.559,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,87.88574,0,92.649,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,88.04652,0,90.523,92.649,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,88.09517,0,90.523,91.739,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,88.18715,0,91.739,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,88.2358,0,90.83,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,88.25899,0,90.523,90.83,0,0,0,No
0,0,0,0,0,4800,1,0.7,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,109.8,109.8,0,0,0,No
0,0,0,0,0,900,1,0,0,0,0,0,88.84094,0,90.2,109.8,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,89.42289,0,90.2,90.2,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,90.00483,0,109.8,90.2,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,90.585,0,109.8,109.74,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,109.477,90.83,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,90.60819,0,109.17,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,90.65684,0,108.261,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,90.74883,0,109.477,91.739,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,90.79747,0,109.477,92.649,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,90.95826,0,107.351,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,91.00691,0,106.441,90.523,0,0,0,No
